Poem,Title,Nationality,Century,Gender
"Light, so low upon earth,    You send a flash to the sun. Here is the golden close of love,    All my wooing is done. Oh, all the woods and the meadows,    Woods, where we hid from the wet, Stiles where we stayed to be kind,    Meadows in which we met! Light, so low in the vale    You flash and lighten afar, For this is the golden morning of love,    And you are his morning star. Flash, I am coming, I come,    By meadow and stile and wood, Oh, lighten into my eyes and my heart,    Into my heart and my blood! Heart, are you great enough    For a love that never tires? O heart, are you great enough for love?    I have heard of thorns and briers. Over the thorns and briers,    Over the meadows and stiles, Over the world to the end of it    Flash of a million miles.",Marriage Morning,English,19th-century,Male
"So these are the hills of home. Hazy tiers
nearly subliminal. To see them is to see
double, hear bad puns delivered with a wink.
An untoward familiarity.
Rising from my sleep, the road is more
and less the road. Around that bend are pale
houses, pairs of junipers. Then to look
reveals no more.",Double,American,21st-century,Female
"All along the valley, stream that flashest white,Deepening thy voice with the deepening of the night,All along the valley, where thy waters flow,I walk'd with one I loved two and thirty years ago.All along the valley, while I walk'd to-day,The two and thirty years were a mist that rolls away;For all along the valley, down thy rocky bed,Thy living voice to me was as the voice of the dead,And all along the valley, by rock and cave and tree,The voice of the dead was a living voice to me.",In the Valley of Cauteretz,English,19th-century,Male
"Old Yew, which graspest at the stones          That name the under-lying dead,          Thy fibres net the dreamless head, Thy roots are wrapt about the bones. The seasons bring the flower again,          And bring the firstling to the flock;          And in the dusk of thee, the clock Beats out the little lives of men. O not for thee the glow, the bloom,          Who changest not in any gale,          Nor branding summer suns avail To touch thy thousand years of gloom: And gazing on thee, sullen tree,          Sick for thy stubborn hardihood,          I seem to fail from out my blood And grow incorporate into thee.",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 2,English,19th-century,Male
"O, for my sake do you with Fortune chide, The guilty goddess of my harmful deeds, That did not better for my life provide Than public means which public manners breeds. Thence comes it that my name receives a brand, And almost thence my nature is subdu'd To what it works in, like the dyer's hand. Pity me then and wish I were renew'd; Whilst, like a willing patient, I will drink Potions of eisel 'gainst my strong infection; No bitterness that I will bitter think, Nor double penance, to correct correction. Pity me then, dear friend, and I assure ye Even that your pity is enough to cure me.","Sonnet 111: O, for my sake do you with Fortune chide,",English,16th-century,Male
You are aland I can’t stand leavingand can’t not.My party shipis pulling out.We all havehats. I try totoot some notesyou’ll understandbut this was notour instrumentor plan.,Party Ship,American,20th-century,Female
"or slip into our chair at a cafe somewhere 
 appear at the end of an aisle at the bookstore 
 looking the right amount of sexy and intellectual 
 but i think love starts her e 
 everything else is just desire and projection 
 of all our wants needs and fantasies 
 but those externalities could never work out 
 if we didn’ t turn inward and learn 
 how to love ourselves in order to love other people 
 love does not look like a person 
 love is our actions 
 love is giving all we can 
 even if it’ s just the bigger slice of cake 
 love is understanding 
 we have the power to hurt one another 
 but we are going to do everything in our power 
 to make sure we don’ t 
 love is figuring out all the kind sweetness we deserve 
 and when someone shows up 
 saying they will provide it as you do 
 but their actions seem to break you 
 rather than build you 
 love is knowing whom to choose",,Canadian,21st-century,Female
"We sat together at one summer’s end,
That beautiful mild woman, your close friend,   
And you and I, and talked of poetry.
I said, ‘A line will take us hours maybe;
Yet if it does not seem a moment’s thought,   
Our stitching and unstitching has been naught.   
Better go down upon your marrow-bones   
And scrub a kitchen pavement, or break stones   
Like an old pauper, in all kinds of weather;   
For to articulate sweet sounds together
Is to work harder than all these, and yet   
Be thought an idler by the noisy set
Of bankers, schoolmasters, and clergymen   
The martyrs call the world.’
                                          And thereupon
That beautiful mild woman for whose sake   
There’s many a one shall find out all heartache   
On finding that her voice is sweet and low   
Replied, ‘To be born woman is to know—
Although they do not talk of it at school—
That we must labour to be beautiful.’
I said, ‘It’s certain there is no fine thing   
Since Adam’s fall but needs much labouring.
There have been lovers who thought love should be   
So much compounded of high courtesy   
That they would sigh and quote with learned looks   
Precedents out of beautiful old books;   
Yet now it seems an idle trade enough.’
We sat grown quiet at the name of love;   
We saw the last embers of daylight die,   
And in the trembling blue-green of the sky   
A moon, worn as if it had been a shell   
Washed by time’s waters as they rose and fell   
About the stars and broke in days and years.
I had a thought for no one’s but your ears:   
That you were beautiful, and that I strove   
To love you in the old high way of love;
That it had all seemed happy, and yet we’d grown   
As weary-hearted as that hollow moon.",Adam's Curse,Irish,20th-century,Male
What might be saidto disport itselfalong the cinderblockin leaves.               *What I writeI write insteadof ivy.               *Green snoutsin evidence or—moreto the point—insolent and tense.               *What might be saidto writheprofessionallyas the daysnod and wink.,Just Saying,American,21st-century,Female
"I
Half a league, half a league,
Half a league onward,
All in the valley of Death
   Rode the six hundred.
“Forward, the Light Brigade!
Charge for the guns!” he said.
Into the valley of Death
   Rode the six hundred.II
“Forward, the Light Brigade!”
Was there a man dismayed?
Not though the soldier knew
   Someone had blundered.
   Theirs not to make reply,
   Theirs not to reason why,
   Theirs but to do and die.
   Into the valley of Death
   Rode the six hundred.III
Cannon to right of them,
Cannon to left of them,
Cannon in front of them
   Volleyed and thundered;
Stormed at with shot and shell,
Boldly they rode and well,
Into the jaws of Death,
Into the mouth of hell
   Rode the six hundred.IV
Flashed all their sabres bare,
Flashed as they turned in air
Sabring the gunners there,
Charging an army, while
   All the world wondered.
Plunged in the battery-smoke
Right through the line they broke;
Cossack and Russian
Reeled from the sabre stroke
   Shattered and sundered.
Then they rode back, but not
   Not the six hundred.V
Cannon to right of them,
Cannon to left of them,
Cannon behind them
   Volleyed and thundered;
Stormed at with shot and shell,
While horse and hero fell.
They that had fought so well
Came through the jaws of Death,
Back from the mouth of hell,
All that was left of them,
   Left of six hundred.VI
When can their glory fade?
O the wild charge they made!
   All the world wondered.
Honour the charge they made!
Honour the Light Brigade,
   Noble six hundred!",The Charge of the Light Brigade,English,19th-century,Male
"How fares it with the happy dead?          For here the man is more and more;          But he forgets the days before God shut the doorways of his head. The days have vanish'd, tone and tint,          And yet perhaps the hoarding sense          Gives out at times (he knows not whence) A little flash, a mystic hint; And in the long harmonious years          (If Death so taste Lethean springs),          May some dim touch of earthly things Surprise thee ranging with thy peers. If such a dreamy touch should fall,          O turn thee round, resolve the doubt;          My guardian angel will speak out In that high place, and tell thee all.",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 44,English,19th-century,Male
"Tax not the royal Saint with vain expense,With ill-matched aims the Architect who planned—Albeit labouring for a scanty bandOf white-robed Scholars only—this immenseAnd glorious Work of fine intelligence!Give all thou canst; high Heaven rejects the loreOf nicely-calculated less or more;So deemed the man who fashioned for the senseThese lofty pillars, spread that branching roofSelf-poised, and scooped into ten thousand cells,Where light and shade repose, where music dwellsLingering—and wandering on as loth to die;Like thoughts whose very sweetness yieldeth proofThat they were born for immortality.","Inside of King's College Chapel, Cambridge",English,19th-century,Male
"Say licked clean at birth. Say
  weeping in the tall grass, where
    this tantalizing song begins,
  birds perched on a crooked branch
over a grave of an unending trek
  into the valley of cooling waters.
    The soil’s thirst, lessons of earth
  unmoor the first tongue. Say
I have gone back, says the oracle,
  counting seasons & centuries, undoing fault
    lines between one generation & next,
  as she twirls sackcloth edged with pollen,
& one glimpses what one did not know. Say
  this is where the goat spoke legends ago
    in the ring of fire to deliver a sacrifice.
  To feel signs depends on how & why
the singer’s song puckers the mouth.
  Well, I believe the borrowed rib
    story is the other way round, entangled
  in decree, blessing, law & myth. One
only has to listen to nightlong pleas
  of a mother who used all thousand
    chants & prayers of clay, red ocher
  blown from the mouth onto the high
stone wall, retracing land bridge
  to wishbone. My own two daughters    & granddaughter, the three know how
  to work praise & lament, ready to sprout
wings of naked flight & labor. Yes,
  hinged into earth, we rose from Lucy
    to clan, from clan to tribe, & today
  we worship her sun-polished bones,
remembering she is made of questions.
  No, mama is not always the first word
    before counting eggs in the cowbird’s
  nest. It begins in memory. Now, say
her name, say Dinknesh, mother of us all.",A World of Daughters,American,20th-century,Male
"at home that night 
 i filled the bathtub with scorching water 
 tossed in spearmint from the garden 
 two tablespoons almond oil 
 some milk 
 and honey 
 a pinch of salt 
 rose petals from the neighbor ’ s lawn 
 i soaked myself in the mixture 
 desperate to wash the dirty of f 
 the first hour 
 i picked pine needles from my hair 
 counted them one two three 
 lined them up on their backs 
 the second hour 
 i wept 
 a howling escaped me 
 who knew girl could become beast 
 during the third hour 
 i found bits of him on bits of me 
 the sweat was not mine 
 the white between my legs 
 not mine 
 the bite marks 
 not mine 
 the smell 
 not mine 
 the blood 
 mine 
 the fourth hour i prayed",,Canadian,21st-century,Female
"A girl is running. Don’t tell me   
“She’s running for her bus.”
All that aside!",Anti-Short Story,American,21st-century,Female
"The worms which had been thick are thin upon the ground now that it's gotten later. They stick against the path, their pink chapped and their inching labored. It's a  matter of moisture isn't it? Time, a  measure of wet, shrinking, the drier you get.",The Late Worm,American,20th-century,Female
"(from As You Like It)



It was a lover and his lass,    With a hey, and a ho, and a hey nonino, That o’er the green cornfield did pass,    In springtime, the only pretty ring time, When birds do sing, hey ding a ding, ding; Sweet lovers love the spring",Song: “It was a lover and his lass”,English,16th-century,Male
"Why is my verse so barren of new pride,
So far from variation or quick change?
Why with the time do I not glance aside
To new-found methods, and to compounds strange?
Why write I still all one, ever the same,
And keep invention in a noted weed,
That every word doth almost tell my name,
Showing their birth, and where they did proceed?
O know, sweet love, I always write of you,
And you and love are still my argument,
So all my best is dressing old words new,
Spending again what is already spent:
   For as the sun is daily new and old,
   So is my love still telling what is told.",Sonnet 76: Why is my verse so barren of new pride,English,16th-century,Male
"I've come to this one grassy hill
in Ramallah, off Tokyo Street,
to a place a few red anemones
& a sheaf of wheat on Darwish's grave.
A borrowed line transported me beneath
a Babylonian moon & I found myself
lucky to have the shadow of a coat
as warmth, listening to a poet's song
of Jerusalem, the hum of a red string
Caesar stole off Gilgamesh's lute.
I know a prison of sunlight on the skin.
The land I come from they also dreamt
before they arrived in towering ships
battered by the hard Atlantic winds.
Crows followed me from my home.
My coyote heart is an old runagate
redskin, a noble savage, still Lakota,
& I knew the bow before the arch.
I feel the wildflowers, all the grasses
& insects singing to me. My sacred dead
is the dust of restless plains I come from,
& I love when it gets into my eyes & mouth
telling me of the roads behind & ahead.
I go back to broken treaties & smallpox,
the irony of barbed wire. Your envoy
could be a reprobate whose inheritance
is no more than a swig of firewater.
The sun made a temple of the bones
of my tribe. I know a dried-up riverbed
& extinct animals live in your nightmares
sharp as shark teeth from my mountains
strung into this brave necklace around
my neck. I hear Chief Standing Bear
saying to Judge Dundy, ""I am a man,""
& now I know why I'd rather die a poet
than a warrior, tattoo & tomahawk.",Envoy to Palestine,American,20th-century,Male
"Eyes that spurn yet inviteLike spikes in the sunlightOf Manhattan’s high-rise—Babylon’s ladies outshineDaughters of Jerusalem,Zion is no easy climb",In Your Face,American,20th-century,Male
"Being your slave, what should I do but tend
Upon the hours and times of your desire?
I have no precious time at all to spend,
Nor services to do, till you require.
Nor dare I chide the world-without-end hour
Whilst I, my sovereign, watch the clock for you.
Nor think the bitterness of absence sour
When you have bid your servant once adieu;
Nor dare I question with my jealous thought
Where you may be, or your affairs suppose,
But like a sad slave, stay and think of nought,
Save, where you are how happy you make those.
So true a fool is love that in your will
Though you do anything, he thinks no ill.","Sonnet 57: Being your slave, what should I do but tend",English,16th-century,Male
"I am the man
Whose name is mud
But what’s in a name
To shame one who knows
Mud does not stain
Clay he’s made of
Dust Adam became—
The dust he was—
Was he his name",Adam Means Earth*,American,20th-century,Male
"I’ve come to this one grassy hillin Ramallah, off Tokyo Street,to place a few red anemones& a sheaf of wheat on Darwish’s grave.A borrowed line transported me beneatha Babylonian moon & I found myselflucky to have the shadow of a coatas warmth, listening to a poet’s songof Jerusalem, the hum of a red stringCaesar stole off Gilgamesh’s lute.I know a prison of sunlight on the skin.The land I come from they also dreamtbefore they arrived in towering shipsbattered by the hard Atlantic winds.Crows followed me from my home.My coyote heart is an old runagateredskin, a noble savage, still Lakota,& I knew the bow before the arch.I feel the wildflowers, all the grasses& insects singing to me. My sacred deadis the dust of restless plains I come from, & I love when it gets into my eyes & mouthtelling me of the roads behind & ahead.I go back to broken treaties & smallpox,the irony of barbed wire. Your envoycould be a reprobate whose inheritanceis no more than a swig of firewater. The sun made a temple of the bonesof my tribe. I know a dried-up riverbed& extinct animals live in your nightmaressharp as shark teeth from my mountainsstrung into this brave necklace aroundmy neck. I hear Chief Standing Bearsaying to Judge Dundy, “I am a man,”& now I know why I’d rather die a poetthan a warrior, tattoo & tomahawk.",Envoy to Palestine,American,20th-century,Male
"The chickens
are circling and
blotting out the   
day. The sun is   
bright, but the   
chickens are in   
the way. Yes,
the sky is dark
with chickens,   
dense with them.
They turn and   
then they turn   
again. These   
are the chickens
you let loose
one at a time
and small—
various breeds.
Now they have   
come home
to roost—all
the same kind
at the same speed.",Home to Roost,American,20th-century,Female
"There is a distance where magnets pull, we feel, having held them   back. Likewise there is a distance where words attract. Set one out like a bait goat   and wait and   seven others will approach. But watch out: roving packs can pull your word away. You   find your stake   yanked and some   rough bunch to thank.",Bait Goat,American,20th-century,Female
"In a doorway
Staring at rain
Simple withstands
Time on his hands",Simon Says,American,20th-century,Male
"The path by which we twain did go,          Which led by tracts that pleased us well,          Thro' four sweet years arose and fell, From flower to flower, from snow to snow: And we with singing cheer'd the way,          And, crown'd with all the season lent,          From April on to April went, And glad at heart from May to May: But where the path we walk'd began          To slant the fifth autumnal slope,          As we descended following Hope, There sat the Shadow fear'd of man; Who broke our fair companionship,          And spread his mantle dark and cold,          And wrapt thee formless in the fold, And dull'd the murmur on thy lip, And bore thee where I could not see          Nor follow, tho' I walk in haste,          And think, that somewhere in the waste The Shadow sits and waits for me.",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 22,English,19th-century,Male
"From low to high doth dissolution climb,And sink from high to low, along a scaleOf awful notes, whose concord shall not fail;A musical but melancholy chime,Which they can hear who meddle not with crime,Nor avarice, nor over-anxious care.Truth fails not; but her outward forms that bearThe longest date do melt like frosty rime,That in the morning whitened hill and plainAnd is no more; drop like the tower sublimeOf yesterday, which royally did wearHis crown of weeds, but could not even sustainSome casual shout that broke the silent air,Or the unimaginable touch of Time.",Mutability,English,19th-century,Male
"They that have power to hurt and will do none,
That do not do the thing they most do show,
Who, moving others, are themselves as stone,
Unmoved, cold, and to temptation slow:
They rightly do inherit heaven's graces
And husband nature's riches from expense;
They are the lords and owners of their faces,
Others but stewards of their excellence.
The summer's flower is to the summer sweet
Though to itself it only live and die,
But if that flower with base infection meet,
The basest weed outbraves his dignity:
For sweetest things turn sourest by their deeds;
Lilies that fester smell far worse than weeds.",Sonnet 94: They that have power to hurt and will do none,English,16th-century,Male
"In their doorways women sit sewing
By the good light of afternoon
And nothing is beyond knowing
Though the sun shall go down soon
A shepherdess near a bramble ditch
And the Princess in the Alcazar
Keep the same precise stitch
And they both can see far
And when the knell tolls
All are wondering who—
If it is a lady, many bells
For a beggar, one will do",Small Kingdom,American,20th-century,Male
"(from Much Ado About Nothing)



Sigh no more, ladies, sigh no more.     Men were deceivers ever, One foot in sea, and one on shore,     To one thing constant never. Then sigh not so, but let them go,     And be you blithe and bonny, Converting all your sounds of woe     Into hey nonny, nonny. Sing no more ditties, sing no more     Of dumps so dull and heavy. The fraud of men was ever so     Since summer first was leafy. Then sigh not so, but let them go,     And be you blithe and bonny, Converting all your sounds of woe     Into hey, nonny, nonny.","Song: “Sigh no more, ladies, sigh no more”",English,16th-century,Male
"Home they brought her warrior dead:          She nor swoon'd nor utter'd cry: All her maidens, watching, said,          ""She must weep or she will die."" Then they praised him, soft and low,          Call'd him worthy to be loved, Truest friend and noblest foe;          Yet she neither spoke nor moved. Stole a maiden from her place,          Lightly to the warrior stepped, Took the face-cloth from the face;          Yet she neither moved nor wept. Rose a nurse of ninety years,          Set his child upon her knee— Like summer tempest came her tears—          ""Sweet my child, I live for thee.""",from The Princess: Home they Brought her Warrior Dead,English,19th-century,Male
Tenderness and rot   share a border.   And rot is an   aggressive neighbor   whose iridescence   keeps creeping over.   No lessons   can be drawn   from this however.   One is not   two countries.   One is not meat   corrupting.   It is important   to stay sweet   and loving.,Tenderness and Rot,American,20th-century,Female
"(from Hamlet, spoken by Hamlet)



To be, or not to be, that is the question:Whether 'tis nobler in the mind to sufferThe slings and arrows of outrageous fortune,Or to take arms against a sea of troublesAnd by opposing end them. To die—to sleep,No more; and by a sleep to say we endThe heart-ache and the thousand natural shocksThat flesh is heir to: 'tis a consummationDevoutly to be wish'd. To die, to sleep;To sleep, perchance to dream—ay, there's the rub:For in that sleep of death what dreams may come,When we have shuffled off this mortal coil,Must give us pause—there's the respectThat makes calamity of so long life.For who would bear the whips and scorns of time,Th'oppressor's wrong, the proud man's contumely,The pangs of dispriz'd love, the law's delay,The insolence of office, and the spurnsThat patient merit of th'unworthy takes,When he himself might his quietus makeWith a bare bodkin? Who would fardels bear,To grunt and sweat under a weary life,But that the dread of something after death,The undiscovere'd country, from whose bournNo traveller returns, puzzles the will,And makes us rather bear those ills we haveThan fly to others that we know not of?Thus conscience does make cowards of us all,And thus the native hue of resolutionIs sicklied o'er with the pale cast of thought,And enterprises of great pitch and momentWith this regard their currents turn awryAnd lose the name of action.","Speech: “To be, or not to be, that is the question”",English,16th-century,Male
"A narrow Fellow in the Grass
Occasionally rides -
You may have met him? Did you not
His notice instant is -
The Grass divides as with a Comb,
A spotted Shaft is seen,
And then it closes at your Feet
And opens further on -
He likes a Boggy Acre -  
A Floor too cool for Corn -
But when a Boy and Barefoot
I more than once at Noon
Have passed I thought a Whip Lash
Unbraiding in the Sun
When stooping to secure it
It wrinkled And was gone -
Several of Nature’s People
I know, and they know me
I feel for them a transport
Of Cordiality
But never met this Fellow
Attended or alone
Without a tighter Breathing
And Zero at the Bone.",A narrow Fellow in the Grass (1096),American,19th-century,Female
"We piled planks, sheets of tin,
& sandbags across the creek
till the bright water rose
& splayed both sides,
swelling into our hoorah.
Our hard work brought July
thrashers & fat June bugs
in decades of dead leaves.
Water moccasins hid in holes
at the brim of the clay bank
as the creek eased up pelvic
bones, hips, navel, & chest,
to eye level. When the boys
dove into our swim hole
we pumped our balled fists
to fire up their rebel yells.
The Jim Crow birds sang
of persimmon & mayhaw
after a 12-gauge shotgun
sounded in the deep woods.
If we ruled the day an hour
the boys would call girl cousins
& sisters, & they came running
half-naked into a white splash,
but we could outrun the sunset
through sage & rabbit tobacco,
born to hide each other’s alibis
beneath the drowned sky.",Our Side of the Creek,American,20th-century,Male
"to keep the coldness out 
 like two brackets they faced one another 
 to hold the dearest parts of them—their children—close 
 they turned a suitcase full of clothes into a life 
 and regular paychecks 
 to make sure the children of immigrants 
 wouldn’ t hate them for being the children of immigrants 
 they worked too hard 
 you can tell by their hands 
 their eyes are begging for sleep 
 but our mouths were begging to be fed 
 and that is the most artistic thing i have ever seen 
 it is poetry to these ears 
 that have never heard what passion sounds like 
 and my mouth is full of likes and ums when 
 i look at their masterpiece 
 cause there are no words in the english language 
 that can articulate that kind of beauty 
 i can’ t compact their existence into twenty-six letters and call it 
 a description 
 i tried once 
 but the adjectives needed to describe them 
 don’ t even exist 
 so instead i ended up with pages and pages 
 full of words followed by commas and 
 more words and more commas 
 only to realize there are some things 
 in the world so infinite 
 they could never use a full stop 
 so how dare you mock your mother 
 when she opens her mouth and 
 broken english spills out 
 don’ t be ashamed of the fact that 
 she split through countries to be here",,Canadian,21st-century,Female
"I walk outside the stone wall
Looking into the park at night
As armed trees frisk a windfall
Down paths that lampposts light",Autumn,American,20th-century,Male
"For W.G. Sebald, 1944-2001



This was the work
of St. Sebolt, one
of his miracles:
he lit a fire with
icicles. He struck
them like a steel
to flint, did St.
Sebolt. It
makes sense
only at a certain
body heat. How
cold he had
to get to learn
that ice would
burn. How cold
he had to stay.
When he could
feel his feet
he had to
back away.",He Lit a Fire with Icicles,American,20th-century,Female
"(from Macbeth)



Double, double toil and trouble;
Fire burn and caldron bubble.
Fillet of a fenny snake,
In the caldron boil and bake;
Eye of newt and toe of frog,
Wool of bat and tongue of dog,
Adder's fork and blind-worm's sting,
Lizard's leg and howlet's wing,
For a charm of powerful trouble,
Like a hell-broth boil and bubble.
Double, double toil and trouble;
Fire burn and caldron bubble.
Cool it with a baboon's blood,
Then the charm is firm and good.","Song of the Witches: “Double, double toil and trouble”",English,16th-century,Male
"O but we talked at large before The sixteen men were shot, But who can talk of give and take, What should be and what not While those dead men are loitering there To stir the boiling pot? You say that we should still the land Till Germany’s overcome; But who is there to argue that Now Pearse is deaf and dumb? And is their logic to outweigh MacDonagh’s bony thumb? How could you dream they’d listen That have an ear alone For those new comrades they have found, Lord Edward and Wolfe Tone, Or meddle with our give and take That converse bone to bone?",Sixteen Dead Men,Irish,20th-century,Male
Death has a lifeof  its own. Seehow its albumhas grown ina year and howthe sharp blot of ithas softened till those couldalmost be shadowsbehind thecherry blossomsin this shot.In fact youcouldn’t provethey’re not.,Album,American,20th-century,Female
"the truth comes to me suddenly—after years of rain 
 the truth comes like sunlight 
 pouring through an open window 
 it takes a long time to get here 
 but it all comes full circle 
 it takes a broken person to come searching 
 for meaning between my legs 
 it takes a complete. whole. perfectly designed 
 person to survive it 
 it takes monsters to steal souls 
 and fighters to reclaim them 
 this home is what i came into this world with 
 was the first home 
 will be the last home 
 you can’ t take it 
 there is no space for you 
 no welcome mat 
 no extra bedrooms 
 i’m opening all the windows 
 airing it out 
 putting flowers in a vase 
 in the middle of the kitchen table 
 lighting a candle 
 loading the dishwasher with all of my thoughts 
 until they’re spotless 
 scrubbing the countertops 
 and then 
 i plan to step into the bathtub 
 wash yesterday out of my hair 
 decorate my body in gold 
 put music on 
 sit back 
 put my feet up 
 and enjoy 
 this typical thursday afternoon",,Canadian,21st-century,Female
"(from Measure for Measure)



Take, oh take those lips away,       That so sweetly were forsworn, And those eyes: the breake of day,       Lights that do mislead the Morn; But my kisses bring again, bring again, Seals of love, but sealed in vain, sealed in vain.","Song: “Take, oh take those lips away”",English,16th-century,Male
"(for Harry Clifton)



I have heard that hysterical women say
They are sick of the palette and fiddle-bow,
Of poets that are always gay,
For everybody knows or else should know
That if nothing drastic is done
Aeroplane and Zeppelin will come out,
Pitch like King Billy bomb-balls in
Until the town lie beaten flat.
All perform their tragic play,
There struts Hamlet, there is Lear,
That's Ophelia, that Cordelia;
Yet they, should the last scene be there,
The great stage curtain about to drop,
If worthy their prominent part in the play,
Do not break up their lines to weep.
They know that Hamlet and Lear are gay;
Gaiety transfiguring all that dread.
All men have aimed at, found and lost;
Black out; Heaven blazing into the head:
Tragedy wrought to its uttermost.
Though Hamlet rambles and Lear rages,
And all the drop scenes drop at once
Upon a hundred thousand stages,
It cannot grow by an inch or an ounce.
On their own feet they came, or on shipboard,
Camel-back, horse-back, ass-back, mule-back,
Old civilisations put to the sword.
Then they and their wisdom went to rack:
No handiwork of Callimachus
Who handled marble as if it were bronze,
Made draperies that seemed to rise
When sea-wind swept the corner, stands;
His long lamp chimney shaped like the stem
Of a slender palm, stood but a day;
All things fall and are built again
And those that build them again are gay.
Two Chinamen, behind them a third,
Are carved in Lapis Lazuli,
Over them flies a long-legged bird
A symbol of longevity;
The third, doubtless a serving-man,
Carries a musical instrument.
Every discolouration of the stone,
Every accidental crack or dent
Seems a water-course or an avalanche,
Or lofty slope where it still snows
Though doubtless plum or cherry-branch
Sweetens the little half-way house
Those Chinamen climb towards, and I
Delight to imagine them seated there;
There, on the mountain and the sky,
On all the tragic scene they stare.
One asks for mournful melodies;
Accomplished fingers begin to play.
Their eyes mid many wrinkles, their eyes,
Their ancient, glittering eyes, are gay.",Lapis Lazuli,Irish,20th-century,Male
"1
“must represent the governess   
for, of course, the creature itself   
could not inspire such terror.”
staring at me fixedly, no   
trace of recognition.
“when the window opened of its own accord.   
In the big walnut tree
were six or seven wolves ...
strained attention. They were white.”   
(The fear of cloudy skies.)
like strangers! After five years
Misgiving. Misdoubt.2
(The fear that one is dreaming.)
The moon was shining, suddenly   
everything around me appeared   
(The fear of)
unfamiliar.
Wild vista
inside or near the home.
(Dread of bearing a monster.)
If I failed to overlook the torn cushions,
three teapots side by side,   
strewn towels, socks, papers—
both foreign and stale.   3
when I saw the frame was rotten,   
crumbling away from the glass,
in spots, in other places still attached   
with huge globs of putty.
The doctor forced me to repeat the word.   
Chimera. Cold feet.
scared and unreal looking at buildings.   
The thin Victorians with scaly paint,   
their flimsy backporches linked
by skeletal stairways.4
After five years
(The fear that you are not at home.)
I was sitting in the alcove where I never sit   
when I noticed a single eye,
crudely drawn in pencil,   
in a corner near the floor.
The paint was blistering—
beneath it I saw white.5
Sparrows settle on the sagging wires.   
(Fear of sights not turned to words.)
Horrific. Grisly.   
“Rumplestiltskin!”
Not my expression.
Not my net of veins   
beneath thin skin.
(A morbid dread of throbbing.)   
Of its own accord",Xenophobia,American,21st-century,Female
"O Swallow, Swallow, flying, flying South, Fly to her, and fall upon her gilded eaves, And tell her, tell her, what I tell to thee. O tell her, Swallow, thou that knowest each, That bright and fierce and fickle is the South, And dark and true and tender is the North. O Swallow, Swallow, if I could follow, and light Upon her lattice, I would pipe and trill, And cheep and twitter twenty million loves. O were I thou that she might take me in, And lay me on her bosom, and her heart Would rock the snowy cradle till I died. Why lingereth she to clothe her heart with love, Delaying as the tender ash delays To clothe herself, when all the woods are green? O tell her, Swallow, that thy brood is flown: Say to her, I do but wanton in the South, But in the North long since my nest is made. O tell her, brief is life but love is long, And brief the sun of summer in the North, And brief the moon of beauty in the South. O Swallow, flying from the golden woods, Fly to her, and pipe and woo her, and make her mine, And tell her, tell her, that I follow thee.",from The Princess: O Swallow,English,19th-century,Male
"Milton! thou shouldst be living at this hour:England hath need of thee: she is a fenOf stagnant waters: altar, sword, and pen,Fireside, the heroic wealth of hall and bower,Have forfeited their ancient English dowerOf inward happiness. We are selfish men;Oh! raise us up, return to us again;And give us manners, virtue, freedom, power.Thy soul was like a Star, and dwelt apart:Thou hadst a voice whose sound was like the sea:Pure as the naked heavens, majestic, free,So didst thou travel on life's common way,In cheerful godliness; and yet thy heartThe lowliest duties on herself did lay.","London, 1802",English,19th-century,Male
"Oh! pleasant exercise of hope and joy! For mighty were the auxiliars which then stood Upon our side, we who were strong in love! Bliss was it in that dawn to be alive, But to be young was very heaven!—Oh! times, In which the meagre, stale, forbidding ways Of custom, law, and statute, took at once The attraction of a country in romance! When Reason seemed the most to assert her rights, When most intent on making of herself A prime Enchantress—to assist the work Which then was going forward in her name! Not favoured spots alone, but the whole earth, The beauty wore of promise, that which sets (As at some moment might not be unfelt Among the bowers of paradise itself ) The budding rose above the rose full blown. What temper at the prospect did not wake To happiness unthought of? The inert Were roused, and lively natures rapt away! They who had fed their childhood upon dreams, The playfellows of fancy, who had made All powers of swiftness, subtilty, and strength Their ministers,—who in lordly wise had stirred Among the grandest objects of the sense, And dealt with whatsoever they found there As if they had within some lurking right To wield it;—they, too, who, of gentle mood, Had watched all gentle motions, and to these Had fitted their own thoughts, schemers more wild, And in the region of their peaceful selves;— Now was it that both found, the meek and lofty Did both find, helpers to their heart's desire, And stuff at hand, plastic as they could wish; Were called upon to exercise their skill, Not in Utopia, subterranean fields, Or some secreted island, Heaven knows where! But in the very world, which is the world Of all of us,—the place where in the end We find our happiness, or not at all!",The French Revolution as It Appeared to Enthusiasts at Its Commencement,English,19th-century,Male
