Poet,Poem,Title,Nationalty,Century,Gender
Kay Ryan,"Born into each seedis a small anti-seeduseful in case of somecomplete reversal:a tiny but powerfulkit for adapting itto the unimaginable.If we could crack thefineness of the shellwe’d see thebundled minuses stacked as in a safe,ready for useif things don’tgo well.",In Case of Complete Reversal,American,20th-century,Female
Kay Ryan,Say when raincannot makeyou more wetor a certainthought can’tdeepen and yetyou think it again:you have lostcount. A largeramount isno longer alarger amount.There has beena collapse; perhapsin the night.Like a rupturein water (whichcan’t ruptureof course). Allyour horsesbroken out withall your horses.,All Your Horses,American,20th-century,Female
Yusef Komunyakaa,"Ito ran to a window. He danced.He howled. He cursed the moon,interned in a camp before he wascarted on a ship back to Tokyo.Hadn’t he almost died for artthe evenings he ate bread soup?If he wished to forget those days& nights dancing in drawing roomsin London, or translating Fenollosa’snotes on Noh, he’d have to unbraidhimself from At the Hawk’s Well,& then let go of the Egyptianmask Dulac painted him into —claws, beak, feathers, & legend.Why did that silly boy tell a storyabout his grandmother weepingwhen she first saw him dressedin his grandfather’s samurai armorto hold the gaze of Lady Cunard?He was again studying the foxholding a biscuit in his hand,saying, “I went to a great hillin Hampstead & I made my soulinto the soul of a fox.” Finally,he would let go of his Europe,& not think of those he loved& taught, Isadora lost. Now,powerless & alone, he danceshis ten steps again & again,wanting to know if a hawkcould peck the eyes out of a fox.",Michio Ito’s Fox & Hawk,American,20th-century,Male
Rae Armantrout,I’m thinking about you and you’re humming while cutting a piece of wood.I’m positive you aren’t thinking about me which is fine as long as youaren’t thinking about yourself. I know and love the way you inhabitthis house and the occasions we mutually create. But I don’t knowthe man you picture when you see yourself walking aroundthe world inside your head and I’m jealousof the attention you pay that personwhom I suspectof being devious.,Asymmetries,American,21st-century,Female
Rae Armantrout,"1 There’s a lot going on in“the”zombie apocalypse.But wouldn’t she recognizethat her motherwas a zombie?I mean zombiesare a thing.2 The last thing she didwas pointto one corner of the ceilingwith a horrified stare.The nurse called this “a seizure.”As if wordsdrained experienceof content and continuedto accumulate.As if wordswere sealed containersstored for safe keeping.3 The backgroundis everythingthat, for now,can be safelyignored",Background Information,American,21st-century,Female
Rae Armantrout,"1 That a memory,caught and mountedfor permanent display,is not muchlike anything that happenscan’t be surprising.But where does that leave us?Night at the Museum,the set piecesin their comicignorance of one anothertake the stage.2 In this series,he tosses heron the bedlike laundryas she strugglesirrelevantlyagainst the stickinessof tapeand it’s just this:the blind persistenceof her struggleand his (feigned?)indifference,the way each proceeds,blinkered and mechanical,into whateverthis recreates",Object Lesson,American,21st-century,Female
Yusef Komunyakaa,"Housed in a boom of blubber& bone, harpooned six times,the giant grew into a dynamohitched to six taut rope-linesskipping the boat across wavestoward the blurry lighthouse.It bled out a long silencebut men in oilskins laboredwith hydraulics of lighton water, walked its flank,& tore it down to a storeroomof Nantucket scrimshaw.Ballast stone or sledge? They bashed in the skull& lowered down the boyto haul up buckets of oilfor candles that burneda slow, clean, white glow.At ten, he was almost a manwhose feet sank into the waxymuck of ambergris. His sweatdripped into a long hour.Big as a barrel, the headechoed a temple nave.",Sperm Oil,American,20th-century,Male
Yusef Komunyakaa,"The city at 3 a.m. is an ungodly mask
the approaching day hides behind
& from, the coyote nosing forth,
the muscles of something ahead,
& a fiery blaze of eighteen-wheelers
zoom out of the curved night trees,
along the rim of absolute chance.
A question hangs in the oily air.
She knows he will follow her scent
left in the poisoned grass & buzz
of chainsaws, if he can unweave
a circle of traps around the subdivision.
For a breathy moment, she stops
on the world’s edge, & then quick as that
masters the stars & again slips the noose
& darts straight between sedans & SUVs.
Don’t try to hide from her kind of blues
or the dead nomads who walked trails
now paved by wanderlust, an epoch
somewhere between tamed & wild.
If it were Monday instead of Sunday
the outcome may be different,
but she’s now in Central Park
searching for a Seneca village
among painted stones & shrubs,
where she’s never been, & lucky
she hasn’t forgotten how to jig
& kill her way home.",Crossing a City Highway,American,20th-century,Male
John Ashbery,"The girl in the green ski chasuble
hasn’t yet graduated from radio school.
Let’s pay attention.
Looking ahead, why, he waved his mouth along.
Doesn’t life get difficult in the summer?
The divine medicine for it collapsed
in front of the shortstop,
who took off like a battalion.
Crowds of older people who would read this
happily, willingly, then walking into night’s embrace,
then kiss. “To turn you out, to turn you out!”
Sometimes an arm is accused:
You could have felt it, the blue shirts,
phlegm central, four times a night.
But what does that get me?
Light refreshments.
When the suburban demonstration kind of shrunk
you put your foot out,
leave it or kiss it
or even two years ago,
Charmaine here tells us.
I think I should stay ...    
Cross-eyed sonofabitch ...    
He liked him, he could tell. A de-happening.
The gangster no longer wanted to sleep with him,
but what the heck. With time off
for actual fuzz collected ... All right, boys.
Cheap murders, peach driven ... I seen enough of those
samples along the way.",Late-ish,American,20th-century,Male
John Ashbery,"Whether the harborline or the east shoreline
consummated it was nobody’s biz until you got there,
eyelids ashimmer, content with one more dispensation
from blue above. And just like we were saying,
the people began to show some interest
in the mud-choked harbor. It could be summer again
for all anyone in our class knew.
Yeah, that’s right. Bumped from our dog-perch,
we’d had to roil with the last of them.
It’s taken a while since I’ve been here,
but I’m resolved. What, didn’t I print,
little piles of notes, slopes almost Sicilian?
Here is my friend:
Socks for comfort (now boys) will see later. Did they come?
The inner grocery had to take three sets of clips away.
Speaking to him of intricate family affairs.
I’m not what you think. Stay preconscious.
It’s just the “flooding of the council.” No need to feel afraid.",Day Bump,American,20th-century,Male
John Ashbery,"Aggressive panhandling, public urination, verbal threats,
public nudity and violation of the open container law
followed us down the days, for why
are we here much longer,
or even this long? I ask you
to be civil and not interrupt night’s business.
It was fun getting used to you,
who couldn’t have been more nicer.
This was as modern as it had ever been.
They were influenced by him: some dirty magazine
on the air tonight. (Amid the chaos, reports of survivors.)
Didn’t the flowers’ restoration cat fugue keep spilling,
and like that? It wouldn’t be the first time, either.
The pro-taffeta get up and laugh,
investigate or communicate. The night you were
going to stay up late, others will kiss,
and he talks about you, and I don’t know what.
Come in, anyway,
and don’t lack for tales of the Assertion.
We’re talking civilian unrest.
Yes, well, maybe you should take one.
(Do not bite or chew.)",People Behaving Badly a Concern,American,20th-century,Male
John Ashbery,"Sometimes something like a second
washes the base of this street.
The father and his two assistants
are given permission to go.
One of them, a woman, asks, “Why
did we come here in the first place,
to this citadel of dampness?”
Some days are worse than others,
even if we can’t believe in them.
But that was never a concern of mine,
reasoned the patient.
Sing, scroll, or never be blasted by us
into marmoreal meaning, or the fist for it.
Kudos to the prince who journeyed here
to negotiate our release, if you can believe it.
You’re right. The ballads are retreating
back into the atmosphere.
They won’t be coming round again.
Make your peace.",Mean Particles,American,20th-century,Male
Rae Armantrout,"What if the ability
to capture
emblems in the wild
won’t validate us?
What if displaying
our embarrassing flaws
won’t save us — 
say being dead
but kittenish?
 
 • 
I can’t show you anything
new, not even
an empty room
behind a velvet rope.
Least of all that!
There’s a Lexus
spinning in a parking lot
because a mountain road is
“so cliché.”
It’s throwing up dust, then more,
but you know the car’s
still in there
somewhere,
still voguing",Object Permanence,American,21st-century,Female
Rae Armantrout,"If not being (something)
is the same as being,
then I will live forever.
 
 • 
Round shadow inside
the sunflower’s
corona.
 
• 
If I lived forever
would the present’s noose
be looser?
 
• 
Moon shadow
made of angry bees,
confined. Come in.",Bees,American,21st-century,Female
Yusef Komunyakaa,"We piled planks, sheets of tin,
& sandbags across the creek
till the bright water rose
& splayed both sides,
swelling into our hoorah.
Our hard work brought July
thrashers & fat June bugs
in decades of dead leaves.
Water moccasins hid in holes
at the brim of the clay bank
as the creek eased up pelvic
bones, hips, navel, & chest,
to eye level. When the boys
dove into our swim hole
we pumped our balled fists
to fire up their rebel yells.
The Jim Crow birds sang
of persimmon & mayhaw
after a 12-gauge shotgun
sounded in the deep woods.
If we ruled the day an hour
the boys would call girl cousins
& sisters, & they came running
half-naked into a white splash,
but we could outrun the sunset
through sage & rabbit tobacco,
born to hide each other’s alibis
beneath the drowned sky.",Our Side of the Creek,American,20th-century,Male
Yusef Komunyakaa,"I was here before the blackamoors
     were photographed & cataloged,
         when they first ran up to me
& then receded into their poses,
     descendants of archival Hamites
         destined to serve their brothers
& sisters in a red baroque room,
     each silent as an iron doorstop.
         Some peered out of perches
askance, shining lanterns & sconces,
     ready to please, or eager to cast
         a guiding light among centuries
of shadows, a patina of mystery
     lost in Tuscan dusk. At least
         their attire isn’t stitched rags.
If ebony & alabaster could talk,
     Lord, the volumes of gossip
         among  gold-leafed tributes
we would hear as vinegar turns
     back to wine, driftwood to bread.
         They’ve been perfectly arranged,
& almost reveal whose sweat
     glosses their smooth skin
         in these rooms of rehearsal.
I saw one shift slightly & blink,
     or maybe it was a dark hum
         coming from the olive grove,
a feeling brought across the sea.
     They are not claw-footed props
         & furniture for drunken nights
posed to grab a hat or fur coat,
     dressed in skeins of filigree
         & false gems, offering a bowl
of  black grapes to each envoy
     or a guest holding a dagger
         behind his upright back.","Blackamoors, Villa La Pietra",American,20th-century,Male
Rae Armantrout,"Where there’s smoke
there are mirrors
and a dry ice machine,
industrial quality fans.
If I’ve learned anything
about the present moment
 
 • 
But who doesn’t
love a flame,
the way one leaps
into being
full-fledged,
then leans over
to chat
 
• 
Already the light
is retrospective,
sourceless,
is losing itself
though the trees
are clearly limned.",Twilight,American,21st-century,Female
Rae Armantrout,"Strand. String.
In this dream,
the paths cross
and cross again.
They are spelling
a real boy
out of repetition.
 
 • 
Each one
is the one
real boy.
Each knows
he must be
wrong
about this, but
he can’t feel
how.
 
• 
The fish
and the fisherman,
the pilot,
the princess,
the fireman and
the ones on fire.",Pinocchio,American,21st-century,Female
Rae Armantrout,"1 
Since the irrational
“because I said so”
start,
they’d had their differences:
color that isn’t really
color, spin
that isn’t spin
because attitude’s
best
when it has no content.
Ask a physicist
what “charge” is;
he’ll say your question
makes no sense.
 
2 
Word had it
that if they surrendered
their feckless ways
and their lives
with no end,
if they joined up,
they would get a head,
something to speak for them:
The head says,
“I don’t want to die.”
Says,
“I am all
alone here.”",Natural Histories,American,21st-century,Female
William Butler Yeats,"The jester walked in the garden:
The garden had fallen still;
He bade his soul rise upward
And stand on her window-sill.
It rose in a straight blue garment,
When owls began to call:
It had grown wise-tongued by thinking
Of a quiet and light footfall;
But the young queen would not listen;
She rose in her pale night-gown;
She drew in the heavy casement
And pushed the latches down.
He bade his heart go to her,
When the owls called out no more;
In a red and quivering garment
It sang to her through the door.
It had grown sweet-tongued by dreaming
Of a flutter of flower-like hair;
But she took up her fan from the table
And waved it off on the air.
'I have cap and bells,’ he pondered,
'I will send them to her and die’;
And when the morning whitened
He left them where she went by.
She laid them upon her bosom,
Under a cloud of her hair,
And her red lips sang them a love-song
Till stars grew out of the air.
She opened her door and her window,
And the heart and the soul came through,
To her right hand came the red one,
To her left hand came the blue.
They set up a noise like crickets,
A chattering wise and sweet,
And her hair was a folded flower
And the quiet of love in her feet.",The Cap and Bells,Irish,20th-century,Male
William Butler Yeats,"We sat together at one summer’s end,
That beautiful mild woman, your close friend,   
And you and I, and talked of poetry.
I said, ‘A line will take us hours maybe;
Yet if it does not seem a moment’s thought,   
Our stitching and unstitching has been naught.   
Better go down upon your marrow-bones   
And scrub a kitchen pavement, or break stones   
Like an old pauper, in all kinds of weather;   
For to articulate sweet sounds together
Is to work harder than all these, and yet   
Be thought an idler by the noisy set
Of bankers, schoolmasters, and clergymen   
The martyrs call the world.’
                                          And thereupon
That beautiful mild woman for whose sake   
There’s many a one shall find out all heartache   
On finding that her voice is sweet and low   
Replied, ‘To be born woman is to know—
Although they do not talk of it at school—
That we must labour to be beautiful.’
I said, ‘It’s certain there is no fine thing   
Since Adam’s fall but needs much labouring.
There have been lovers who thought love should be   
So much compounded of high courtesy   
That they would sigh and quote with learned looks   
Precedents out of beautiful old books;   
Yet now it seems an idle trade enough.’
We sat grown quiet at the name of love;   
We saw the last embers of daylight die,   
And in the trembling blue-green of the sky   
A moon, worn as if it had been a shell   
Washed by time’s waters as they rose and fell   
About the stars and broke in days and years.
I had a thought for no one’s but your ears:   
That you were beautiful, and that I strove   
To love you in the old high way of love;
That it had all seemed happy, and yet we’d grown   
As weary-hearted as that hollow moon.",Adam's Curse,Irish,20th-century,Male
William Butler Yeats,"The fascination of what's difficult
Has dried the sap out of my veins, and rent
Spontaneous joy and natural content
Out of my heart. There's something ails our colt
That must, as if it had not holy blood
Nor on Olympus leaped from cloud to cloud,
Shiver under the lash, strain, sweat and jolt
As though it dragged road metal. My curse on plays
That have to be set up in fifty ways,
On the day's war with every knave and dolt,
Theatre business, management of men.
I swear before the dawn comes round again
I'll find the stable and pull out the bolt.",The Fascination of What’s Difficult,Irish,20th-century,Male
Kay Ryan,"If it please God,   
let less happen.   
Even out Earth's   
rondure, flatten   
Eiger, blanden
the Grand Canyon.
Make valleys
slightly higher,   
widen fissures   
to arable land,   
remand your
terrible glaciers   
and silence
their calving,   
halving or doubling
all geographical features   
toward the mean.
Unlean against our hearts.   
Withdraw your grandeur   
from these parts.",Blandeur,American,20th-century,Female
Emily Dickinson,"The Bustle in a House
The Morning after Death
Is solemnest of industries
Enacted opon Earth –
The Sweeping up the Heart
And putting Love away
We shall not want to use again
Until Eternity –",The Bustle in a House (1108),American,19th-century,Female
William Shakespeare,"Shall I compare thee to a summer’s day?
Thou art more lovely and more temperate:
Rough winds do shake the darling buds of May,
And summer’s lease hath all too short a date;
Sometime too hot the eye of heaven shines,
And often is his gold complexion dimm'd;
And every fair from fair sometime declines,
By chance or nature’s changing course untrimm'd;
But thy eternal summer shall not fade,
Nor lose possession of that fair thou ow’st;
Nor shall death brag thou wander’st in his shade,
When in eternal lines to time thou grow’st:
   So long as men can breathe or eyes can see,
   So long lives this, and this gives life to thee.",Sonnet 18: Shall I compare thee to a summer’s day?,English,16th-century,Male
William Shakespeare,"(from Love's Labors Lost)



When daisies pied and violets blue       And lady-smocks all silver-white And cuckoo-buds of yellow hue       Do paint the meadows with delight, The cuckoo then, on every tree, Mocks married men; for thus sings he:                                                     “Cuckoo; Cuckoo, cuckoo!” O, word of fear, Unpleasing to a married ear! When shepherds pipe on oaten straws,       And merry larks are ploughmen's clocks, When turtles tread, and rooks, and daws,       And maidens bleach their summer smocks, The cuckoo then, on every tree, Mocks married men; for thus sings he,                                                     “Cuckoo; Cuckoo, cuckoo!” O, word of fear, Unpleasing to a married ear! When icicles hang by the wall,       And Dick the shepherd blows his nail, And Tom bears logs into the hall,       And milk comes frozen home in pail, When blood is nipp'd, and ways be foul, Then nightly sings the staring-owl,                                                     “Tu-who; Tu-whit, tu-who!”—a merry note, While greasy Joan doth keel the pot. When all aloud the wind doth blow,       And coughing drowns the parson's saw, And birds sit brooding in the snow,       And Marian's nose looks red and raw, When roasted crabs hiss in the bowl, Then nightly sings the staring owl,                                                     “Tu-who; Tu-whit, tu-who!”—a merry note, While greasy Joan doth keel the pot.",Song: “When daisies pied and violets blue” ,English,16th-century,Male
"Alfred, Lord Tennyson","Break, break, break,
         On thy cold gray stones, O Sea!
And I would that my tongue could utter
         The thoughts that arise in me.
O, well for the fisherman's boy,
         That he shouts with his sister at play!
O, well for the sailor lad,
         That he sings in his boat on the bay!
And the stately ships go on
         To their haven under the hill;
But O for the touch of a vanish'd hand,
         And the sound of a voice that is still!
Break, break, break
         At the foot of thy crags, O Sea!
But the tender grace of a day that is dead
         Will never come back to me.","Break, Break, Break",English,19th-century,Male
"Alfred, Lord Tennyson","I
Half a league, half a league,
Half a league onward,
All in the valley of Death
   Rode the six hundred.
“Forward, the Light Brigade!
Charge for the guns!” he said.
Into the valley of Death
   Rode the six hundred.II
“Forward, the Light Brigade!”
Was there a man dismayed?
Not though the soldier knew
   Someone had blundered.
   Theirs not to make reply,
   Theirs not to reason why,
   Theirs but to do and die.
   Into the valley of Death
   Rode the six hundred.III
Cannon to right of them,
Cannon to left of them,
Cannon in front of them
   Volleyed and thundered;
Stormed at with shot and shell,
Boldly they rode and well,
Into the jaws of Death,
Into the mouth of hell
   Rode the six hundred.IV
Flashed all their sabres bare,
Flashed as they turned in air
Sabring the gunners there,
Charging an army, while
   All the world wondered.
Plunged in the battery-smoke
Right through the line they broke;
Cossack and Russian
Reeled from the sabre stroke
   Shattered and sundered.
Then they rode back, but not
   Not the six hundred.V
Cannon to right of them,
Cannon to left of them,
Cannon behind them
   Volleyed and thundered;
Stormed at with shot and shell,
While horse and hero fell.
They that had fought so well
Came through the jaws of Death,
Back from the mouth of hell,
All that was left of them,
   Left of six hundred.VI
When can their glory fade?
O the wild charge they made!
   All the world wondered.
Honour the charge they made!
Honour the Light Brigade,
   Noble six hundred!",The Charge of the Light Brigade,English,19th-century,Male
"Alfred, Lord Tennyson","Where Claribel low-lieth
   The breezes pause and die,
   Letting the rose-leaves fall:But the solemn oak-tree sigheth,
   Thick-leaved, ambrosial,
   With an ancient melody
   Of an inward agony,Where Claribel low-lieth.At eve the beetle boometh
   Athwart the thicket lone:At noon the wild bee hummeth
   About the moss'd headstone:At midnight the moon cometh,
   And looketh down alone.Her song the lintwhite swelleth,The clear-voiced mavis dwelleth,
   The callow throstle lispeth,The slumbrous wave outwelleth,
   The babbling runnel crispeth,The hollow grot replieth
   Where Claribel low-lieth.",Claribel,English,19th-century,Male
"Alfred, Lord Tennyson","Sunset and evening star,
      And one clear call for me!
And may there be no moaning of the bar,
      When I put out to sea,
   But such a tide as moving seems asleep,
      Too full for sound and foam,
When that which drew from out the boundless deep
      Turns again home.
   Twilight and evening bell,
      And after that the dark!
And may there be no sadness of farewell,
      When I embark;
   For tho' from out our bourne of Time and Place
      The flood may bear me far,
I hope to see my Pilot face to face
      When I have crost the bar.",Crossing the Bar,English,19th-century,Male
"Alfred, Lord Tennyson","He clasps the crag with crooked hands;Close to the sun in lonely lands,Ring'd with the azure world, he stands.The wrinkled sea beneath him crawls;He watches from his mountain walls,And like a thunderbolt he falls.",The Eagle,English,19th-century,Male
William Wordsworth,"Earth has not any thing to show more fair:
Dull would he be of soul who could pass by
A sight so touching in its majesty:
This City now doth, like a garment, wear
The beauty of the morning; silent, bare,
Ships, towers, domes, theatres, and temples lie
Open unto the fields, and to the sky;
All bright and glittering in the smokeless air.
Never did sun more beautifully steep
In his first splendour, valley, rock, or hill;
Ne'er saw I, never felt, a calm so deep!
The river glideth at his own sweet will:
Dear God! the very houses seem asleep;
And all that mighty heart is lying still!","Composed upon Westminster Bridge, September 3, 1802",English,19th-century,Male
William Wordsworth,"When first, descending from the moorlands,I saw the Stream of Yarrow glideAlong a bare and open valley,The Ettrick Shepherd was my guide.When last along its banks I wandered,Through groves that had begun to shedTheir golden leaves upon the pathways,My steps the Border-minstrel led.The mighty Minstrel breathes no longer,'Mid mouldering ruins low he lies;And death upon the braes of Yarrow,Has closed the Shepherd-poet's eyes:Nor has the rolling year twice measured,From sign to sign, its stedfast course,Since every mortal power of ColeridgeWas frozen at its marvellous source;The rapt One, of the godlike forehead,The heaven-eyed creature sleeps in earth:And Lamb, the frolic and the gentle,Has vanished from his lonely hearth.Like clouds that rake the mountain-summits,Or waves that own no curbing hand,How fast has brother followed brother,From sunshine to the sunless land!Yet I, whose lids from infant slumberWere earlier raised, remain to hearA timid voice, that asks in whispers,""Who next will drop and disappear?""Our haughty life is crowned with darkness,Like London with its own black wreath,On which with thee, O Crabbe! forth-looking,I gazed from Hampstead's breezy heath.As if but yesterday departed,Thou too art gone before; but why,O'er ripe fruit, seasonably gathered,Should frail survivors heave a sigh?Mourn rather for that holy Spirit,Sweet as the spring, as ocean deep;For Her who, ere her summer faded,Has sunk into a breathless sleep.No more of old romantic sorrows,For slaughtered Youth or love-lorn Maid!With sharper grief is Yarrow smitten,And Ettrick mourns with her their Poet dead.",Extempore Effusion upon the Death of James Hogg,English,19th-century,Male
William Wordsworth,"Oh! pleasant exercise of hope and joy! For mighty were the auxiliars which then stood Upon our side, we who were strong in love! Bliss was it in that dawn to be alive, But to be young was very heaven!—Oh! times, In which the meagre, stale, forbidding ways Of custom, law, and statute, took at once The attraction of a country in romance! When Reason seemed the most to assert her rights, When most intent on making of herself A prime Enchantress—to assist the work Which then was going forward in her name! Not favoured spots alone, but the whole earth, The beauty wore of promise, that which sets (As at some moment might not be unfelt Among the bowers of paradise itself ) The budding rose above the rose full blown. What temper at the prospect did not wake To happiness unthought of? The inert Were roused, and lively natures rapt away! They who had fed their childhood upon dreams, The playfellows of fancy, who had made All powers of swiftness, subtilty, and strength Their ministers,—who in lordly wise had stirred Among the grandest objects of the sense, And dealt with whatsoever they found there As if they had within some lurking right To wield it;—they, too, who, of gentle mood, Had watched all gentle motions, and to these Had fitted their own thoughts, schemers more wild, And in the region of their peaceful selves;— Now was it that both found, the meek and lofty Did both find, helpers to their heart's desire, And stuff at hand, plastic as they could wish; Were called upon to exercise their skill, Not in Utopia, subterranean fields, Or some secreted island, Heaven knows where! But in the very world, which is the world Of all of us,—the place where in the end We find our happiness, or not at all!",The French Revolution as It Appeared to Enthusiasts at Its Commencement,English,19th-century,Male
William Wordsworth,"Beneath these fruit-tree boughs that shedTheir snow-white blossoms on my head,With brightest sunshine round me spread
     Of spring's unclouded weather,In this sequestered nook how sweetTo sit upon my orchard-seat!And birds and flowers once more to greet,
     My last year's friends together.One have I marked, the happiest guestIn all this covert of the blest:Hail to Thee, far above the rest
     In joy of voice and pinion!Thou, Linnet! in thy green array,Presiding Spirit here to-day,Dost lead the revels of the May;
     And this is thy dominion.While birds, and butterflies, and flowers,Make all one band of paramours,Thou, ranging up and down the bowers,
     Art sole in thy employment:A Life, a Presence like the Air,Scattering thy gladness without care,Too blest with any one to pair;
     Thyself thy own enjoyment.Amid yon tuft of hazel trees,That twinkle to the gusty breeze,Behold him perched in ecstasies,
     Yet seeming still to hover;There! where the flutter of his wingsUpon his back and body flingsShadows and sunny glimmerings,
     That cover him all over.My dazzled sight he oft deceives,A brother of the dancing leaves;Then flits, and from the cottage-eaves
     Pours forth his song in gushes;As if by that exulting strainHe mocked and treated with disdainThe voiceless Form he chose to feign,
     While fluttering in the bushes.",The Green Linnet,English,19th-century,Male
Emily Dickinson,"I heard a Fly buzz - when I died -
The Stillness in the Room
Was like the Stillness in the Air -
Between the Heaves of Storm -
The Eyes around - had wrung them dry -
And Breaths were gathering firm
For that last Onset - when the King
Be witnessed - in the Room -
I willed my Keepsakes - Signed away
What portion of me be
Assignable - and then it was
There interposed a Fly -
With Blue - uncertain - stumbling Buzz -
Between the light - and me -
And then the Windows failed - and then
I could not see to see -",I heard a Fly buzz - when I died - (591),American,19th-century,Female
Emily Dickinson,"I felt a Funeral, in my Brain,
And Mourners to and fro
Kept treading - treading - till it seemed
That Sense was breaking through -
And when they all were seated,
A Service, like a Drum -
Kept beating - beating - till I thought
My mind was going numb -
And then I heard them lift a Box
And creak across my Soul
With those same Boots of Lead, again,
Then Space - began to toll,
As all the Heavens were a Bell,
And Being, but an Ear,
And I, and Silence, some strange Race,
Wrecked, solitary, here -
And then a Plank in Reason, broke,
And I dropped down, and down -
And hit a World, at every plunge,
And Finished knowing - then -","I felt a Funeral, in my Brain, (340)",American,19th-century,Female
Emily Dickinson,"Success is counted sweetest
By those who ne'er succeed.
To comprehend a nectar
Requires sorest need.
Not one of all the purple Host
Who took the Flag today
Can tell the definition
So clear of victory
As he defeated – dying –
On whose forbidden ear
The distant strains of triumph
Burst agonized and clear!",Success is counted sweetest (112),American,19th-century,Female
Emily Dickinson,"There's a certain Slant of light,
Winter Afternoons –
That oppresses, like the Heft
Of Cathedral Tunes –
Heavenly Hurt, it gives us –
We can find no scar,
But internal difference –
Where the Meanings, are –
None may teach it – Any –
'Tis the seal Despair –
An imperial affliction
Sent us of the Air –
When it comes, the Landscape listens –
Shadows – hold their breath –
When it goes, 'tis like the Distance
On the look of Death –","There's a certain Slant of light, (320)",American,19th-century,Female
William Shakespeare,"Not marble nor the gilded monuments
Of princes shall outlive this powerful rhyme,
But you shall shine more bright in these contents
Than unswept stone besmeared with sluttish time.
When wasteful war shall statues overturn,
And broils root out the work of masonry,
Nor Mars his sword nor war’s quick fire shall burn
The living record of your memory.
’Gainst death and all-oblivious enmity
Shall you pace forth; your praise shall still find room
Even in the eyes of all posterity
That wear this world out to the ending doom.
    So, till the Judgement that yourself arise,
    You live in this, and dwell in lovers’ eyes.",Sonnet 55: Not marble nor the gilded monuments,English,16th-century,Male
Rae Armantrout,"A girl is running. Don’t tell me   
“She’s running for her bus.”
All that aside!",Anti-Short Story,American,21st-century,Female
Rae Armantrout,"1
Discomfort marks the boundary.
One early symptom was the boundary.
The invention of hunger.   
I could use energy.
To serve.
Elaborate systems in the service of   
far-fetched demands.
The great termite mounds serve   
as air-conditioners.
Temperature within must never vary   
more than 2 degrees.2
Which came first
the need or the system?
Systematic.   
System player.   
Scheme of Things.
The body considered as a functional unit.   
“My system craves calcium.”
An organized set of doctrines.
A network formed for the purpose of ...   
“All I want is you.”3
was narrowing their options to one,   
the next development.
Soldiers have elongate heads and massive mandibles.   
Squirtgun heads are found among fiercer species.   
Since soldiers cannot feed themselves, each requires   
a troupe of attendants.4
Her demands had become more elaborate.
He must be blindfolded,
   (Must break off his own wings)   
wear this corset laced tight
   (seal up the nuptial cell)
to attain his heart’s desire.
Move only as she permits
   (Mate the bloated queen each season)   
or be hung from the rafters.
How did he get here?5
Poor baby,
I heard your hammer.
The invention of pounding.
“As soon as it became important   
that free energy be channeled.”
Once you cared to be   
set off
from the surrounding medium.
This order has been preferred
since improvement was discovered.
The moment one intends to grow   
at the expense.
When teeth emerge
Demand for special treatment   
was an early symptom",Natural History,American,21st-century,Female
Rae Armantrout,"spider on the cold expanse
of glass, three stories high
rests intently
and so purely alone.
I’m not like that!",Dusk,American,21st-century,Female
Rae Armantrout,"So these are the hills of home. Hazy tiers
nearly subliminal. To see them is to see
double, hear bad puns delivered with a wink.
An untoward familiarity.
Rising from my sleep, the road is more
and less the road. Around that bend are pale
houses, pairs of junipers. Then to look
reveals no more.",Double,American,21st-century,Female
Rae Armantrout,"A merchant is
probing for us
with his chintz curtain
                                          effect.
                     *
“Ha, ha, you missed me,”   
a dead person says.
                     *
There’s the bank’s
colonial balcony
where no one has
                                 ever stood.",Home Federal,American,21st-century,Female
Rae Armantrout,"Ventriloquy
is the mother tongue.
Can you colonize rejection   
by phrasing your request,
                                       “Me want?”
Song: “I’m not a baby.   
         Wa, Wa, Wa.
         I’m not a baby.   
         Wa, Wa, Wa.
         I’m crazy   
         like you.”
The “you”
in the heart of   
molecule and ridicule.
Marks resembling   
the holes
in dead leaves
define the thing (moth wing).
That flutter
of indifference,
                         feigned?
But if lapses   are the dens
strategy aims   
to conceal,
then you don’t know   
what you’re asking.",Attention,American,21st-century,Female
Rae Armantrout,"The man
slapped her bottom   
like a man did
in a video,
then he waited   
as if for shadow
to completely cover the sun.
Moments later   
archeologists found him.
*
The idea that they were reenacting something which had been staged in the first place bothered her. If she wanted to go on, she’d need to ignore this limp chronology. She assumed he was conscious of the same constraint. But she almost always did want to proceed. Procedure! If only either one of them believed in the spontaneity of the original actors and could identify with one. Be one. For this to work, she reasoned, one of us would have to be gone.
*
“Well, look who missed   
the fleeting moment,”
Green Giant gloats   
over dazed children.
If to transpose   
is to know,
we can cover our losses.
But only   
If talking,
Formerly food,
Now meant   
Not now
So recovery   
Ran rings.
If to traverse   
is to envelop,
I am held
and sung to sleep.",Covers,American,21st-century,Female
